brand,n_threads,avg_len,deep_turn_pct,resolution_pct,handoff_pct,info_request_pct,empathy_only_pct,substantive_pct,other_pct
AmazonHelp,12250,4.44,61.27,0.34,29.33,3.14,6.71,4.02,56.8
AppleSupport,12180,2.95,34.93,0.04,56.27,0.17,0.22,4.35,38.98
Uber_Support,6250,3.01,35.2,0.04,69.24,4.14,1.54,4.03,21.05
AmericanAir,3837,3.3,42.51,0.23,12.29,2.33,5.63,4.44,75.31
Tesco,2459,4.2,68.93,0.11,12.68,5.02,1.51,3.65,77.14
British_Airways,2458,3.62,53.17,0.37,15.15,2.07,7.69,4.39,70.7
VirginTrains,2062,4.19,61.3,0.16,8.14,0.3,7.13,2.21,82.22
XboxSupport,2010,3.92,61.74,0.03,33.37,0.93,1.16,6.28,58.26
sprintcare,1901,3.66,46.03,0.0,45.98,1.92,1.12,2.53,48.45
AskPlayStation,1783,3.31,43.47,0.12,33.6,4.0,2.25,18.86,41.29
sainsburys,1624,3.85,57.2,0.07,16.71,2.46,2.16,4.04,74.63
GWRHelp,1612,4.09,63.65,1.68,3.61,0.86,3.79,5.37,86.36
ATVIAssist,1604,3.8,48.69,0.21,17.99,5.23,6.47,4.08,66.23
VerizonSupport,1182,5.09,64.64,0.0,14.45,0.32,1.49,3.58,80.16
idea_cares,1119,4.41,61.66,0.35,26.13,5.06,9.94,2.13,56.74
