brand,n_threads,avg_thread_len,median_thread_len,deep_turn_rate,substantive_response_rate,score
AmazonHelp,12250,4.436571428571429,3.0,0.6126530612244898,0.040201816347124116,0.634390511579726
VerizonSupport,1182,5.088832487309645,4.0,0.6463620981387479,0.0358148893360161,0.4573161779515426
Tesco,2459,4.199267995119968,4.0,0.689304595363969,0.03653777935438099,0.4409013000356857
AskPlayStation,1783,3.3140773976444193,2.0,0.4346606842400449,0.18859138533178113,0.4369299203407316
GWRHelp,1612,4.091811414392059,3.0,0.6364764267990074,0.05368647100930565,0.40580548790969373
XboxSupport,2010,3.917910447761194,3.0,0.617412935323383,0.06279069767441861,0.40243645577611625
VirginTrains,2062,4.185741998060136,3.0,0.6129970902036858,0.022119060622610594,0.35306782859686964
idea_cares,1119,4.409294012511171,3.0,0.6166219839142091,0.02129547471162378,0.3520872493743335
AppleSupport,12180,2.947126436781609,2.0,0.34926108374384235,0.043510737628384685,0.32890340094327924
sainsburys,1624,3.853448275862069,3.0,0.5720443349753694,0.04039712427250942,0.31810534241605987
British_Airways,2458,3.6151342554922703,3.0,0.53173311635476,0.043912639405204464,0.29464511149057104
ATVIAssist,1604,3.7992518703241895,2.0,0.4869077306733167,0.040833687792428755,0.2548584882473174
AmericanAir,3837,3.3023195204586915,2.0,0.4250716705759708,0.04443183966723388,0.22595213977047454
sprintcare,1901,3.6612309310889004,2.0,0.4602840610205155,0.02528,0.20438641030896854
Uber_Support,6250,3.0096,2.0,0.352,0.04027493066441577,0.1973547229454513
O2,1325,3.556981132075472,2.0,0.470188679245283,0.029509757258448358,0.19670942879925915
hulu_support,2248,3.125,2.0,0.3927935943060498,0.06809701492537314,0.19371579277457374
TMobileHelp,3310,3.4438066465256796,2.0,0.383987915407855,0.04113215231113826,0.1920720123986911
SpotifyCares,4233,3.2622253720765415,2.0,0.3730214977557288,0.040891621829362026,0.18927008707718948
Delta,4014,3.3059292476332836,2.0,0.4190333831589437,0.01873645091359554,0.18159140207359958
comcastcares,3592,2.979955456570156,2.0,0.3393652561247216,0.015231519090170594,0.08304009997118489
Ask_Spectrum,2717,2.991534781008465,2.0,0.3452337136547663,0.018267367838361474,0.07369273080116673
SouthwestAir,3220,2.8633540372670807,2.0,0.3409937888198758,0.01874098990869774,0.07191481507859891
UPSHelp,2195,2.749886104783599,2.0,0.3357630979498861,0.027461749705766966,0.05066244813689537
ChipotleTweets,2149,2.7594229874360168,2.0,0.3280595625872499,0.022264150943396226,0.03611907606740211
