author_id,outbound_tweets,n_threads,unique_customers
AmazonHelp,24775,12262,12510
AppleSupport,16065,12190,12975
Uber_Support,8293,6255,6512
SpotifyCares,6505,4236,4519
Delta,6458,4039,4119
Tesco,5638,2468,2619
AmericanAir,5289,3871,4071
comcastcares,4924,3624,3933
TMobileHelp,4911,3323,3785
British_Airways,4304,2469,2528
SouthwestAir,4162,3230,3246
VirginTrains,3662,2071,2158
Ask_Spectrum,3613,2730,2949
XboxSupport,3440,2019,2312
hulu_support,3216,2261,2397
sprintcare,3125,1941,2345
sainsburys,2921,1641,1739
GWRHelp,2794,1620,1546
ChipotleTweets,2650,2149,2260
AskPlayStation,2577,1784,1927
UPSHelp,2549,2221,2406
VerizonSupport,2485,1193,1437
ATVIAssist,2351,1606,2406
idea_cares,2254,1120,1161
O2,2101,1329,1406
Safaricom_Care,2037,1270,1247
AskTarget,1947,1640,1771
AirAsiaSupport,1797,1030,1055
AskLyft,1794,1506,1754
BofA_Help,1788,922,972
ArgosHelpers,1761,1154,1193
AskPayPal,1679,1451,1585
marksandspencer,1651,1165,1224
MicrosoftHelps,1645,657,678
AskAmex,1582,593,615
Morrisons,1573,929,957
SW_Help,1506,856,843
AdobeCare,1440,758,804
AskeBay,1383,832,844
AirbnbHelp,1369,931,1002
airtel_care,1357,591,613
ChaseSupport,1265,1007,1074
McDonalds,1242,1239,1328
Ask_WellsFargo,1156,925,973
CoxHelp,1144,717,748
AlaskaAir,1133,856,840
JetBlue,1102,734,775
AldiUK,1091,982,1072
HPSupport,1087,592,602
AzureSupport,1079,500,504
GloCare,922,449,469
LondonMidland,871,511,533
DropboxSupport,791,438,453
DellCares,759,287,308
VirginAtlantic,638,402,426
AskCiti,633,378,402
GreggsOfficial,594,479,556
TacoBellTeam,591,452,465
AskPapaJohns,591,483,557
nationalrailenq,518,289,315
NikeSupport,513,224,227
CenturyLinkHelp,506,406,437
VirginAmerica,466,341,350
Postmates_Help,460,416,431
Walmart,405,366,458
IHGService,364,241,250
KFC_UKI_Help,346,320,346
askpanera,332,313,323
TfL,330,238,258
ATT,326,279,366
NortonSupport,309,124,138
AsurionCares,295,172,191
ArbysCares,290,229,234
GoDaddyHelp,269,201,204
DoorDash_Help,239,229,249
sizehelpteam,218,183,198
USCellularCares,210,84,98
AskVirginMoney,201,76,77
VMUcare,199,112,146
TwitterSupport,176,172,224
DunkinDonuts,173,171,187
Kimpton,171,149,145
NeweggService,167,128,139
SCsupport,161,136,136
AskRBC,158,121,132
AWSSupport,149,133,140
PearsonSupport,137,98,100
PandoraSupport,136,112,112
BoostCare,126,100,116
YahooCare,124,83,115
OPPOCareIN,121,68,78
GooglePlayMusic,120,79,81
askvisa,118,71,83
HiltonHelp,115,100,105
MTNC_Care,112,81,93
AskSeagate,107,55,61
KeyBank_Help,101,70,75
asksalesforce,94,65,71
AskTigogh,94,42,53
MOO,92,67,73
ask_progressive,92,74,87
AskRobinhood,90,58,91
mediatemplehelp,50,27,29
OfficeSupport,34,20,21
JackBox,31,28,31
AskDSC,28,26,26
HotelTonightCX,22,18,21
CarlsJr,21,20,25
