root_id,n_tweets,n_inbound,n_outbound
8,10,5,5
20,2,1,1
61,2,1,1
69,2,1,1
71,2,1,1
159,2,1,1
202,2,1,1
208,2,1,1
220,2,1,1
250,12,7,5
614,3,2,1
643,7,4,3
672,7,5,2
700,5,3,2
711,11,7,4
719,4,2,2
723,4,2,2
736,4,2,2
767,2,1,1
814,11,6,5
862,7,4,3
877,4,2,2
1072,253,145,108
1207,10,5,5
1226,4,2,2
1244,2,1,1
1358,2,1,1
1367,2,1,1
1394,4,2,2
1421,2,1,1
1434,2,1,1
1451,2,1,1
1476,2,1,1
1518,4,2,2
1525,20,14,6
1565,2,1,1
1592,3,1,2
1612,2,1,1
1618,7,4,3
1628,2,1,1
1662,9,4,5
1668,2,1,1
1686,4,2,2
1761,2,1,1
1838,2,1,1
1844,7,3,4
1851,4,2,2
1866,3,2,1
1911,7,4,3
1976,2,1,1
2035,2,1,1
2037,2,1,1
2087,2,1,1
2098,4,2,2
2114,3,2,1
2146,2,1,1
2160,2,1,1
2242,6,3,3
2273,6,4,2
2278,2,1,1
2284,5,4,1
2308,3,1,2
2313,2,1,1
2326,2,1,1
2380,3,2,1
2391,2,1,1
2401,2,1,1
2404,3,2,1
2410,2,1,1
2412,2,1,1
2423,4,2,2
2486,2,1,1
2580,5,3,2
2624,7,4,3
2628,4,2,2
2676,8,6,2
2731,3,2,1
2733,2,1,1
2796,2,1,1
2800,3,2,1
2804,4,2,2
2869,4,2,2
2963,6,3,3
3040,2,1,1
3074,2,1,1
3134,2,1,1
3142,6,4,2
3194,2,1,1
3312,2,1,1
3356,2,1,1
3431,2,1,1
3487,8,4,4
3547,2,1,1
3555,4,2,2
3598,4,2,2
3603,6,3,3
3611,2,1,1
3623,7,5,2
3649,9,5,4
3674,13,7,6
3733,4,2,2
3737,4,2,2
3767,2,1,1
3797,3,2,1
3802,6,4,2
3823,4,1,3
3931,8,5,3
4040,4,2,2
4048,7,4,3
4051,11,7,4
4223,2,1,1
4229,2,1,1
4234,2,1,1
4387,3,2,1
4441,5,3,2
4463,2,1,1
4470,8,4,4
4483,10,5,5
4485,2,1,1
4496,4,2,2
4530,2,1,1
4589,2,1,1
4591,2,1,1
4616,4,2,2
4626,3,2,1
4675,3,2,1
4783,3,2,1
4901,4,2,2
4919,2,1,1
4926,4,2,2
4930,14,7,7
4991,2,1,1
5026,5,2,3
5049,3,1,2
5062,2,1,1
5093,4,2,2
5131,6,3,3
5137,2,1,1
5149,2,1,1
5302,2,1,1
5319,4,2,2
5331,6,3,3
5335,2,1,1
5340,7,5,2
5350,2,1,1
5372,2,1,1
5381,2,1,1
5384,2,1,1
5397,4,2,2
5436,14,6,8
5449,2,1,1
5455,4,2,2
5469,3,2,1
5487,2,1,1
5491,2,1,1
5503,2,1,1
5508,4,2,2
5562,2,1,1
5674,5,4,1
5705,12,7,5
5727,2,1,1
5757,2,1,1
5765,3,2,1
5769,2,1,1
5796,6,3,3
5825,2,1,1
5903,11,10,1
5912,3,2,1
6606,2,1,1
6655,2,1,1
6915,2,1,1
6930,2,1,1
6934,2,1,1
6937,4,2,2
6949,4,2,2
6982,6,3,3
7011,2,1,1
7062,7,4,3
7081,111,70,41
7581,2,1,1
7593,2,1,1
7595,2,1,1
7604,3,2,1
7612,2,1,1
7619,2,1,1
7745,2,1,1
7778,2,1,1
7780,2,1,1
7789,2,1,1
7839,20,9,11
7859,4,2,2
7933,2,1,1
8031,2,1,1
8098,3,1,2
8183,2,1,1
8200,3,2,1
8208,4,3,1
8219,3,1,2
8258,9,5,4
8437,5,3,2
8456,6,3,3
8479,13,7,6
8524,2,1,1
8570,2,1,1
8574,4,2,2
8591,6,4,2
8595,4,2,2
8608,173,113,60
8704,6,3,3
8708,5,2,3
8752,4,2,2
8754,2,1,1
8793,2,1,1
8807,2,1,1
8852,12,9,3
9005,2,1,1
9039,5,3,2
9162,2,1,1
9190,4,2,2
9329,21,11,10
9347,4,3,1
9387,4,2,2
9389,2,1,1
9405,2,1,1
9474,2,1,1
9486,2,1,1
9500,2,1,1
9526,2,1,1
9528,2,1,1
9561,2,1,1
9638,8,5,3
9696,4,2,2
9713,2,1,1
9718,2,1,1
9727,5,4,1
9756,2,1,1
9796,2,1,1
9831,5,3,2
9843,5,3,2
9848,4,2,2
9872,2,1,1
9878,5,2,3
9885,3,2,1
9915,2,1,1
9935,2,1,1
9943,2,1,1
9959,6,3,3
9981,2,1,1
10020,4,2,2
10324,2,1,1
10348,3,1,2
10416,7,4,3
10446,2,1,1
10486,3,2,1
10579,2,1,1
10622,2,1,1
